Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(6197804k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
43.616: [GC (Allocation Failure) 43.616: [DefNew: 140095K->315K(157248K), 0.0104719 secs] 182838K->43059K(506816K), 0.0106729 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
44.716: [GC (Allocation Failure) 44.716: [DefNew: 140091K->308K(157248K), 0.0095305 secs] 182835K->43055K(506816K), 0.0097264 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
45.742: [GC (Allocation Failure) 45.742: [DefNew: 140084K->304K(157248K), 0.0098877 secs] 182831K->43057K(506816K), 0.0101011 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
Heap
 def new generation   total 157248K, used 71706K [0x00000000e0000000, 0x00000000eaaa0000, 0x00000000eaaa0000)
  eden space 139776K,  51% used [0x00000000e0000000, 0x00000000e45ba670, 0x00000000e8880000)
  from space 17472K,   1% used [0x00000000e9990000, 0x00000000e99dc1b0, 0x00000000eaaa0000)
  to   space 17472K,   0% used [0x00000000e8880000, 0x00000000e8880000, 0x00000000e9990000)
 tenured generation   total 349568K, used 42753K [0x00000000eaaa0000, 0x0000000100000000, 0x0000000100000000)
   the space 349568K,  12% used [0x00000000eaaa0000, 0x00000000ed460428, 0x00000000ed460600, 0x0000000100000000)
 Metaspace       used 36309K, capacity 38114K, committed 38440K, reserved 1083392K
  class space    used 4534K, capacity 4865K, committed 4904K, reserved 1048576K
