Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(6189448k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
11.090: [GC (Allocation Failure) [PSYoungGen: 38385K->5073K(38400K)] 77010K->43706K(125952K), 0.0057036 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
11.311: [GC (Allocation Failure) [PSYoungGen: 38353K->5105K(38400K)] 76986K->43818K(125952K), 0.0060465 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
11.534: [GC (Allocation Failure) [PSYoungGen: 38385K->5089K(38400K)] 77098K->43850K(125952K), 0.0060810 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
11.781: [GC (Allocation Failure) [PSYoungGen: 38366K->4993K(38400K)] 77127K->43762K(125952K), 0.0093140 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
12.039: [GC (Allocation Failure) [PSYoungGen: 38270K->5057K(38400K)] 77040K->43834K(125952K), 0.0056455 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
12.305: [GC (Allocation Failure) [PSYoungGen: 38332K->3184K(38400K)] 77110K->43648K(125952K), 0.0065788 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
12.561: [GC (Allocation Failure) [PSYoungGen: 36464K->352K(38400K)] 76928K->43466K(125952K), 0.0092032 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
12.815: [GC (Allocation Failure) [PSYoungGen: 33628K->208K(38400K)] 76743K->43402K(125952K), 0.0047784 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
13.044: [GC (Allocation Failure) [PSYoungGen: 33485K->192K(38400K)] 76679K->43418K(125952K), 0.0038305 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.282: [GC (Allocation Failure) [PSYoungGen: 33472K->144K(38400K)] 76698K->43402K(125952K), 0.0044242 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
13.497: [GC (Allocation Failure) [PSYoungGen: 33419K->128K(38400K)] 76678K->43426K(125952K), 0.0035015 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.726: [GC (Allocation Failure) [PSYoungGen: 33408K->160K(38400K)] 76706K->43482K(125952K), 0.0037692 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
