Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(11015288k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
236.022: [GC (Allocation Failure) 236.022: [DefNew: 35594K->359K(39296K), 0.0142778 secs] 80069K->44833K(126720K), 0.0144928 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
236.315: [GC (Allocation Failure) 236.315: [DefNew: 35302K->326K(39296K), 0.0076423 secs] 79777K->44801K(126720K), 0.0077958 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
236.604: [GC (Allocation Failure) 236.604: [DefNew: 35270K->422K(39296K), 0.0082674 secs] 79745K->44896K(126720K), 0.0084249 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
236.890: [GC (Allocation Failure) 236.890: [DefNew: 35366K->303K(39296K), 0.0064314 secs] 79840K->44778K(126720K), 0.0065883 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
237.182: [GC (Allocation Failure) 237.182: [DefNew: 35246K->520K(39296K), 0.0102178 secs] 79720K->44994K(126720K), 0.0103841 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
237.465: [GC (Allocation Failure) 237.465: [DefNew: 35464K->351K(39296K), 0.0071658 secs] 79938K->44826K(126720K), 0.0073200 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
237.742: [GC (Allocation Failure) 237.742: [DefNew: 35295K->362K(39296K), 0.0086393 secs] 79770K->44837K(126720K), 0.0088069 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
238.059: [GC (Allocation Failure) 238.059: [DefNew: 35306K->287K(39296K), 0.0145769 secs] 79781K->44761K(126720K), 0.0149787 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
238.345: [GC (Allocation Failure) 238.345: [DefNew: 35225K->441K(39296K), 0.0104345 secs] 79700K->44961K(126720K), 0.0106144 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
238.618: [GC (Allocation Failure) 238.618: [DefNew: 35385K->242K(39296K), 0.0084906 secs] 79905K->44874K(126720K), 0.0086407 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
238.908: [GC (Allocation Failure) 238.908: [DefNew: 35186K->166K(39296K), 0.0092393 secs] 79818K->44801K(126720K), 0.0093863 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
239.170: [GC (Allocation Failure) 239.170: [DefNew: 35103K->352K(39296K), 0.0073150 secs] 79739K->44994K(126720K), 0.0074614 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
239.494: [GC (Allocation Failure) 239.494: [DefNew: 35296K->243K(39296K), 0.0059142 secs] 79938K->44892K(126720K), 0.0060711 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
239.770: [GC (Allocation Failure) 239.770: [DefNew: 35187K->333K(39296K), 0.0058201 secs] 79836K->44983K(126720K), 0.0059831 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
240.032: [GC (Allocation Failure) 240.032: [DefNew: 35277K->370K(39296K), 0.0066919 secs] 79927K->45026K(126720K), 0.0068658 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
240.283: [GC (Allocation Failure) 240.283: [DefNew: 35314K->629K(39296K), 0.0075438 secs] 79970K->45289K(126720K), 0.0077185 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
240.605: [GC (Allocation Failure) 240.605: [DefNew: 35573K->355K(39296K), 0.0062291 secs] 80233K->45041K(126720K), 0.0063988 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
240.827: [GC (Allocation Failure) 240.827: [DefNew: 35299K->335K(39296K), 0.0056574 secs] 79985K->45021K(126720K), 0.0058223 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
241.050: [GC (Allocation Failure) 241.050: [DefNew: 35279K->341K(39296K), 0.0059090 secs] 79965K->45034K(126720K), 0.0060870 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
241.269: [GC (Allocation Failure) 241.270: [DefNew: 35285K->324K(39296K), 0.0054847 secs] 79978K->45020K(126720K), 0.0056379 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
241.611: [GC (Allocation Failure) 241.611: [DefNew: 35264K->322K(39296K), 0.0060499 secs] 79960K->45024K(126720K), 0.0062297 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
241.842: [GC (Allocation Failure) 241.842: [DefNew: 35266K->329K(39296K), 0.0065194 secs] 79968K->45030K(126720K), 0.0067009 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
242.065: [GC (Allocation Failure) 242.065: [DefNew: 35273K->327K(39296K), 0.0057629 secs] 79974K->45029K(126720K), 0.0059291 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
